region_schema,region_parent,region_child,agerange,2020-03-28,2020-04-13,2020-04-14,2020-04-18,2020-04-22,2020-04-23,2020-04-24,2020-04-29,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
np_district,np-p6,np0665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_district,np-p7,np0767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,3,,,,,,,9,8,,,,,35,,,,,,,16,,,,2,,,,1,2,,,,1,1,,,,,,,,,68,2,,,11,4,,,,,,,,,1,,,,,,,,,,
np_district,np-p7,np0768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,8,8,27,78,95,98,51,43,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_district,np-p7,np0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,1,,,,,,,,,,1,,,8,,,2,7,23,13,1,13,,,,127,31,,,1,,,22,4,,,,,14,1,4,,,,,,,,,,14,,,,,,,,,11,,,1,,,,1,,,,,,,,,31,38,,,,
np_district,np-p7,np0770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,20,,,15,61,27,7,,,,,61,13,69,30,20,58,,,3,,,12,2,1,,,,,,,,7,,,4,7,7,,,,,,52,,,,,,,,,,,,,,,1,,,,,,4,16,34,1,,,
np_district,np-p7,np0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,3,,,2,,,,12,7,,,,3,23,1,42,49,3,27,58,38,151,3,31,14,17,30,5,27,165,65,,,8,,,8,1,,,11,5,,,,,24,1,4,,,8,,,,,8,5,15,89,10,67,19,,,19,4,,,,,,,,,15,1,3,1,85,14,,,16
np_district,np-p7,np0772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,2,,,,,,,7,2,20,,,,,86,60,42,5,,,,,31,50,6,32,,,,2,,,,,,,,,,,,,,,,,,,,8,2,18,9,,,,,,1,4,,,,,,,,,12,1,,,,,,,12
np_district,np-p7,np0773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,9,12,41,15,4,,,,,1,,,,,,,9,5,6,2,,,,,,,,8,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,4,2
np_district,np-p7,np0774,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,68,18,2,14,,,3,25,26,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,3,,,3,2
np_district,np-p7,np0775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,5,,,,,,,,,,,,1,
