region_schema,region_parent,region_child,agerange,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
admin_1,us,us-pa,,2097,2243,2317,2395,2512,2603,2613,2634,2701,2743,2764,2750,2746,2748,2736,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-ri,,201,331,331,331,331,331,331,331,331,576,576,576,576,576,691,718,732,750,896,937,977,1013,1061,1092,1123,1153,1187,1218,1251,1280,1307,1328,1351,1372,1403,1418,1438,1464,1486,1506,1537,1557,1580,1580,1613,1624,1639,1660,1682,1701,1724,1743,1753,1765,1775,1775,1775,1807,1815,1828,1842,1853,1853,1853,1882,1889,1898,1911,1922,1922,1922,1950,1958,1967,1981,1984,1984,1984,1995,2001,2007,2011,2019,2019,2019,2019,2036,2043,2043,2051,2051,2051,2066,2070,2075,2084,2088,2088,2088,2110,2116,2127,2137,2146,2146,2146,2174,2182,2195,2202,2211,2211,2211,2231,2242,2248,2264,2276,2276,2276,2311,2317,2336,2341,2350,2350,2350,2380,2405,2419,2431,2438,2438,2438,2460,2474,2478
admin_1,us,us-sc,,496,496,675,675,675,675,776,776,776,776,837,837,944,944,944,944,944,1000,1000,1110,1110,1110,1110,1110,1152,1152,1152,1252,1252,1252,1338,1338,1338,1421,1421,1421,1421,1444,1444,1444,1534,1534,1534,1534,1618,1618,1618,1634,1634,1634,1634,1789,1789,1789,1814,1814,1814,1814,1898,1898,1898,1988,1988,1988,1988,2055,2055,2055,2294,2294,2294,2294,2377,2377,2377,2622,2622,2622,2622,2854,2854,2854,2882,2882,2882,2882,3090,3090,3090,3398,3398,3398,3398,3744,3744,3744,4182,4182,4182,4182,4498,4498,4498,4827,4827,4827,4827,5117,5117,5117,5117,5527,5527,5527,5799,5799,5799,6153,6153,6153,6153,6482,6482,6482,6852,6852,6852,6852,7146,7146,7146,7439,7439,7439,7439,7598,7598
admin_1,us,us-sd,,43,44,45,51,55,63,68,74,87,100,111,119,124,128,135,150,157,165,173,179,187,197,211,220,230,236,247,253,261,263,271,281,290,296,304,312,316,327,333,342,351,358,364,370,378,391,406,418,427,432,435,443,456,464,467,474,478,482,487,503,514,525,531,539,544,562,570,585,589,598,608,616,624,629,632,639,645,652,657,666,674,683,687,689,691,692,699,709,718,726,738,738,742,744,752,757,763,771,774,774,776,790,792,796,798,801,806,808,810,815,824,832,835,838,846,856,861,866,871,876,882,887,892,896,903,913,916,921,927,935,940,948,951,959,965,974,981
admin_1,us,us-tn,,567,579,633,663,691,711,719,724,730,760,775,793,808,821,828,837,894,1013,1013,1113,1125,1135,1143,1156,1221,1266,1299,1319,1325,1344,1363,1388,1435,1454,1474,1482,1489,1498,1515,1539,1560,1573,1583,1594,1609,1647,1689,1710,1732,1750,1767,1792,1829,1855,1893,1923,1932,1948,1974,1990,2011,2049,2073,2087,2106,2146,2180,2209,2238,2266,2291,2301,2336,2386,2431,2498,2564,2564,2599,2665,2715,2775,2825,2860,2871,2897,2950,3023,3088,3146,3193,3250,3284,3378,3434,3497,3562,3649,3681,3712,3798,3907,4016,4120,4196,4244,4280,4280,4482,4572,4661,4724,4756,4808,4900,5001,5109,5190,5262,5304,5339,5464,5554,5648,5725,5813,5847,5881,5981,6069,6156,6255,6328,6378,6421,6515,6603
admin_1,us,us-tx,,1338,1176,1409,1538,1459,1522,1321,1471,1411,1419,1678,1649,1674,1597,1542,1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-ut,,195,201,213,221,238,244,251,259,268,277,288,301,315,329,345,349,370,383,390,403,418,436,441,456,464,476,488,498,512,517,535,553,558,566,578,586,595,595,631,647,1036,1053,688,692,696,716,734,753,763,775,789,801,829,850,870,890,900,918,931,954,968,988,1012,1028,1041,1073,1102,1120,1145,1161,1184,1192,1226,1256,1290,1321,1365,1396,1417,1444,1476,1505,1529,1565,1582,1604,1653,1678,1700,1748,1797,1824,1850,1888,1913,1956,1984,2014,2033,2066,2109,2135,2150,2188,2213,2234,2253,2295,2324,2346,2377,2412,2430,2450,2482,2519,2554,2578,2604,2620,2642,2677,2696,2721,2744,2760,2771,2782,2804,2832,2853,2870,2899,2926,2941,2969,2996
admin_1,us,us-va,,751,1238,1282,1298,1337,1308,1307,1422,1500,1581,1581,1753,1837,1942,2014,3298,3422,3608,3654,3654,3738,3910,4010,4113,4113,4438,4622,4717,4756,4777,4929,5080,5211,5316,5414,5517,5609,5768,6059,6269,6422,6431,6453,6521,6630,6826,6974,7172,7216,7326,7326,7373,7476,7550,7597,7553,7724,7730,7846,7981,7964,8028,8090,8136,8132,8245,8367,8350,8425,8487,8509,8511,8572,8651,8672,8722,8787,8823,8823,8982,9023,9384,9529,9549,9576,9592,9815,9982,10021,10195,10291,10355,10459,10550,10608,10778,11054,11142,11203,11265,11424,11488,11697,11826,12001,12056,12140,12844,13000,13085,13271,13263,13280,13460,13640,13826,13984,14097,14101,14123,14212,14445,14528,14647,14776,14965,14967,15000,15163,15232,15357,15482,15507,15598,15609,15755,15852
admin_1,us,us-vt,,34,33,64,63,58,32,56,53,49,41,37,44,32,37,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-wa,,642,527,387,645,595,622,518,586,403,503,543,544,455,455,508,536,,,,,,,,,,,,3450,,,,,,,,,,,,3125,3156,3230,3256,3287,3290,3338,3394,3413,3455,3480,3501,3517,3543,3578,3615,3639,3652,3669,3699,3747,3773,3772,3817,3845,3856,3894,3915,3938,3959,4003,4030,4049,4062,4067,4093,4106,4194,4240,4275,4323,4361,4402,4442,4463,4473,4482,4544,4582,4630,4665,4662,4662,4751,4778,4788,4829,4944,4984,5033,5063,5102,5161,5211,5276,5301,5341,5374,5397,5474,5476,5568,5568,5655,5692,5744,5779,5840,5874,5890,5896,6001,6049,6102,6137,6182,6206,6230,6255,6296,6358,6388,6400,6469,6500,6530,6542,6595
admin_1,us,us-wi,,974,993,1049,1091,1121,1153,1176,1190,1211,1252,1302,1318,1353,1376,1397,1415,1456,1489,1512,1544,1591,1608,1621,1663,1694,1732,1767,1806,1820,1846,1877,1908,1939,1977,2018,2038,2068,2110,2161,2218,2259,2292,2315,2339,2362,2411,2452,2499,2563,2583,2603,2643,2700,2739,2791,2832,2848,2860,2904,2943,2976,3003,3035,3049,3061,3096,3128,3160,3177,3203,3220,3231,3268,3299,3326,3351,3382,3393,3407,3446,3482,3519,3555,3574,3586,3602,3639,3683,3726,3766,3797,3824,3850,3892,3923,3968,4031,4082,4107,4129,4194,4225,4273,4327,4368,4394,4420,4493,4539,4590,4637,4681,4717,4732,4783,4826,4881,4930,4980,5000,5031,5092,5125,5170,5235,5275,5304,5327,5380,5430,5469,5505,5545,5558,5573,5610,5651
admin_1,us,us-wv,,81,164,164,164,85,85,83,72,77,85,103,108,97,97,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-wy,,40,41,43,43,43,43,50,50,51,52,52,52,54,54,54,54,56,56,56,56,58,60,60,60,60,59,60,64,65,66,67,67,67,68,69,70,73,73,74,75,76,77,78,79,82,82,82,84,85,85,86,86,87,87,90,90,90,91,91,92,92,92,93,93,93,96,97,97,98,98,100,105,109,109,111,112,111,112,112,117,117,119,119,119,119,119,119,120,121,121,123,124,124,128,131,131,140,142,143,144,146,152,153,155,158,158,158,162,165,166,166,167,167,167,169,169,171,176,177,177,179,183,187,189,191,191,191,195,193,197,202,203,203,207,211,213,213
